# page	repo path	line	text of that line when pinned	line before	line after
# Written by tools/check-site-pages.py --pin. Do not edit by hand.
_facts/authoring/crt-linter	packages/layout/bin/ps2ui-layout.js	57	    case '--min-font-size': minFontSize = parseInt(args[++i], 10); break;	    // rather than have the rule quietly not reach its text.	    // A CAP, RAISED ON PURPOSE AND IN THE OPEN (S3). Repeatable:
_facts/authoring/crt-linter	packages/layout/bin/ps2ui-layout.js	100	  options.lint = { ...(options.lint || {}), minFontSize };	  }	}
_facts/authoring/crt-linter	packages/layout/bin/ps2ui-layout.js	112	  for (const w of ir.warnings) console.warn(`warning: ${w}`);	  const ir = compileFiles(positional[0], positional[1], options);	  // MAKE THE OUTPUT DIRECTORY. `-o build/ui.json` into a tree with no
_facts/authoring/crt-linter	packages/layout/bin/ps2ui-layout.js	128	  if (strict && ir.warnings.length > 0) {	  console.error(`ps2ui-layout: ${quads} paint commands, ${ir.focus.nodes.length} focusables -> ${out}`);	    console.error(`ps2ui-layout: --strict: ${ir.warnings.length} warning(s)`);
_facts/authoring/crt-linter	packages/layout/src/box.js	99	  'data-keep', 'data-nocontrast', 'data-slot', 'data-slot-capacity',	const KNOWN_DATA_ATTRS = new Set([	  'data-tex-slot', 'data-repeat',
_facts/authoring/crt-linter	packages/layout/src/box.js	201	  box.nocontrast = 'data-nocontrast' in el.attrs;	  // one has to be argued for each time.	  if ('data-slot' in el.attrs) {
_facts/authoring/crt-linter	packages/layout/src/box.js	310	  // a rounded card that does not clip draws correctly, and a square	  // fires on the box that does both, because either alone is fine:	  // one that clips clips correctly.
_facts/authoring/crt-linter	packages/layout/src/index.js	271	  const lintOpts = { canvasW, canvasH, par, ...options.lint };	  // this comment was drawing in prose, so use it.	  // forLint, not commands: it is the same list with slot text spliced
_facts/authoring/crt-linter	packages/layout/src/index.js	273	  // in at the index it would have painted at. A data-slot draws no	  // forLint, not commands: it is the same list with slot text spliced	  // static command, so linting `commands` checked every colour in the
_facts/authoring/crt-linter	packages/layout/src/index.js	276	  const lints = lintDocument(forLint, focus, lintOpts)	  // document EXCEPT the dynamic text -- 127 of them in opl-env.	    .map((l) => `${l.rule}: ${l.message}`);
_facts/authoring/crt-linter	packages/layout/src/index.js	282	      if (!COLOUR_LINTS.has(l.rule)) {	      const line = `${l.rule}: ${l.message}`;	        if (seen.has(line)) continue;
_facts/authoring/crt-linter	packages/layout/src/index.js	283	        if (seen.has(line)) continue;	      if (!COLOUR_LINTS.has(l.rule)) {	        seen.add(line);
_facts/authoring/crt-linter	packages/layout/src/lint.js	7	// statically. Lints are warnings, not errors — a homebrew author with an	// visible in a desktop browser preview, so the compiler checks for them	// LCD and component cables may ignore all of them deliberately.
_facts/authoring/crt-linter	packages/layout/src/lint.js	12	export const DEFAULT_LINT_OPTIONS = Object.freeze({		  canvasW: 640,
_facts/authoring/crt-linter	packages/layout/src/lint.js	22	  minContrast: 3.0,	  minFontSize: 14,	  // Pixel aspect ratio; 1.0 is square. Anything else distorts shapes.
_facts/authoring/crt-linter	packages/layout/src/lint.js	29	function luminance([r, g, b]) {		  const lin = (v) => {
_facts/authoring/crt-linter	packages/layout/src/lint.js	50	const SAFE_SYMBOL_RANGES = [	// footer carries face-button hints (backlog B13).	  [0x2000, 0x206F], // general punctuation: – — ' ' " " …
_facts/authoring/crt-linter	packages/layout/src/lint.js	62	/** Composite `top` over `bottom` (both RGBA 0-255), returning RGB. */		function over(top, bottom) {
_facts/authoring/crt-linter	packages/layout/src/lint.js	87	function coexists(rect, cmd) {	 */	  if (rect.state === 'always' || cmd.state === 'always') return true;
_facts/authoring/crt-linter	packages/layout/src/lint.js	91	  if (rect.focusId === cmd.focusId) return rect.state === cmd.state;	  // Same node: its two states are alternatives, never a stack.	  // Different nodes, both painting their focused state. The runtime's
_facts/authoring/crt-linter	packages/layout/src/lint.js	103	function compositeChain(chain, backdrop) {		  let out = backdrop;
_facts/authoring/crt-linter	packages/layout/src/lint.js	115	function transmittance(chain) {	 */	  let t = 1;
_facts/authoring/crt-linter	packages/layout/src/lint.js	139	  if (opt.safeInsetX == null) opt.safeInsetX = Math.round(opt.canvasW * 0.05);	  const opt = { ...DEFAULT_LINT_OPTIONS, ...options };	  if (opt.safeInsetY == null) opt.safeInsetY = Math.round(opt.canvasH * 0.05);
_facts/authoring/crt-linter	packages/layout/src/lint.js	154	  if (Math.abs(opt.par - 1) > opt.maxShapeDistortion) {	  // on a stretched display.	    const rounded = commands.filter((c) => c.op === 'rect' && c.radius > 0).length;
_facts/authoring/crt-linter	packages/layout/src/lint.js	160	      warnings.push({	    if (rounded > 0) {	        rule: 'aspect-distortion',
_facts/authoring/crt-linter	packages/layout/src/lint.js	161	        rule: 'aspect-distortion',	      warnings.push({	        message: `${rounded} rounded corner(s) draw ${pct}% ${dir} than tall `
_facts/authoring/crt-linter	packages/layout/src/lint.js	168	        rule: 'aspect-distortion',	      warnings.push({	        message: `${images} image(s) draw ${pct}% ${dir} than tall at PAR `
_facts/authoring/crt-linter	packages/layout/src/lint.js	184	      if (cmd.borderWidth === 1 || (cmd.fill && cmd.h === 1)) {		        warnings.push({
_facts/authoring/crt-linter	packages/layout/src/lint.js	186	          rule: 'interlace-flicker',	        warnings.push({	          message: `1px line at (${cmd.x},${cmd.y}) will shimmer on an interlaced CRT; use 2px`,
_facts/authoring/crt-linter	packages/layout/src/lint.js	190	      if (cmd.fill) {	      }	        const [r, g, b] = cmd.fill;
_facts/authoring/crt-linter	packages/layout/src/lint.js	194	            rule: 'ntsc-red-bleed',	          warnings.push({	            message: `saturated red fill rgb(${r},${g},${b}) at (${cmd.x},${cmd.y}) smears on composite video`,
_facts/authoring/crt-linter	packages/layout/src/lint.js	206	        rule: 'min-font-size',	      warnings.push({	        message: `"${cmd.text.slice(0, 24)}" is ${cmd.size}px; below ${opt.minFontSize}px is unreadable from a couch`,
_facts/authoring/crt-linter	packages/layout/src/lint.js	210	    if (cmd.x < safe.x0 || cmd.y < safe.y0 || cmd.y + cmd.size > safe.y1) {	    }	      warnings.push({
_facts/authoring/crt-linter	packages/layout/src/lint.js	212	        rule: 'overscan',	      warnings.push({	        message: `text "${cmd.text.slice(0, 24)}" at (${cmd.x},${cmd.y}) leaves the title-safe area; a CRT may crop it`,
_facts/authoring/crt-linter	packages/layout/src/lint.js	216	    for (const ch of cmd.text) {	    }	      const cp = ch.codePointAt(0);
_facts/authoring/crt-linter	packages/layout/src/lint.js	220	          rule: 'charset',	        warnings.push({	          message: `codepoint U+${cp.toString(16).toUpperCase()} in "${cmd.text.slice(0, 24)}": non-Latin text wrapping is untested`,
_facts/authoring/crt-linter	packages/layout/src/lint.js	226	    // Contrast against every background containing the text, composited	    }	    // in paint order. Taking only the innermost rect's raw RGB would
_facts/authoring/crt-linter	packages/layout/src/lint.js	229	    const chain = [];	    // read a translucent scrim as though it were opaque.	    for (const r of bgStack) {
_facts/authoring/crt-linter	packages/layout/src/lint.js	231	      if (!coexists(r, cmd)) continue;	    for (const r of bgStack) {	      if (cmd.x >= r.x && cmd.y >= r.y && cmd.x <= r.x + r.w && cmd.y <= r.y + r.h) {
_facts/authoring/crt-linter	packages/layout/src/lint.js	241	    if (chain.length && cmd.color[3] > 0 && !cmd.nocontrast) {	    // false alarms is a linter people learn to skim past.	      const seeThrough = transmittance(chain) > 0;
_facts/authoring/crt-linter	packages/layout/src/lint.js	261	          rule: 'contrast',	        warnings.push({	          message: `"${cmd.text.slice(0, 24)}" contrast ${worst.toFixed(2)}:1 < ${opt.minContrast}:1${where} — CRTs crush shadows harder than your monitor`,
_facts/authoring/crt-linter	packages/layout/src/lint.js	271	    if (w < 24 || h < 24) {	    const [x, y, w, h] = node.rect;	      warnings.push({
_facts/authoring/crt-linter	packages/layout/src/lint.js	273	        rule: 'focus-target-size',	      warnings.push({	        message: `focusable "${node.name}" is ${w}x${h}px; smaller than 24px is hard to see highlighted from 3 meters`,
_facts/authoring/crt-linter	packages/layout/src/lint.js	277	    if (x + w > safe.x1 + opt.safeInsetX || y + h > safe.y1 + opt.safeInsetY) {	    }	      warnings.push({
_facts/authoring/crt-linter	packages/layout/src/lint.js	279	        rule: 'overscan',	      warnings.push({	        message: `focusable "${node.name}" extends past the action-safe area`,
_facts/authoring/crt-linter	packages/layout/src/paint.js	156	      ...(box.nocontrast ? { nocontrast: true } : {}),	      focusId: box.focusId,	    });
_facts/authoring/crt-linter	packages/layout/src/paint.js	255	        ...(box.nocontrast ? { nocontrast: true } : {}),	        focusId: box.focusId,	      });
_facts/authoring/css	README.md	214	- Flexbox: `flex-direction`, `flex-wrap`, `flex-grow`/`-shrink`/`-basis` and the `flex` shorthand, `gap`/`row-gap`/`column-gap`, `justify-content`, `align-items`, `align-self`. **`flex-direction` has no default** (see below)		- Box model (border-box): `padding`, `margin`, borders, `border-radius` (one px length, baked as nine-patch textures)
_facts/authoring/css	README.md	230	**Colors are not open-ended.** Hex (`#rgb`, `#rgba`, `#rrggbb`,		`#rrggbbaa`), `rgb()`/`rgba()` with numbers or percentages, and exactly
_facts/authoring/css	README.md	244	**A `:focus` rule may change paint, and only paint.** Changing `width`,		`padding`, `flex-*`, `font-size`, `line-height` or `overflow` there is a
_facts/authoring/css	packages/baker/ps2ui_bake/ninepatch.py	72	def patch_key(radius: int, border_w: int, part: int):		    """A coverage patch is identified by its GEOMETRY and nothing else.
_facts/authoring/css	packages/baker/ps2ui_bake/ninepatch.py	82	@dataclass		class NinePatch:
_facts/authoring/css	packages/baker/ps2ui_bake/ninepatch.py	155	def slice_quads(patch: NinePatch, x: int, y: int, w: int, h: int):		    """Yield (dst_rect, src_rect) pairs mapping the nine cells onto a
_facts/authoring/css	packages/layout/src/box.js	176	  if (style.display === 'none') return null;	  );	
_facts/authoring/css	packages/layout/src/box.js	373	      if (cbox) {	      const cbox = buildBoxTree(child, sheet, style, focusStyle, warnings, scope, env);	        cbox.parent = box;
_facts/authoring/css	packages/layout/src/box.js	393	  if (box.children.length >= 2 && !style.flexDirectionDeclared) {	  // wrapper is never asked.	    // Collected, not thrown. Migrating a document written against the
_facts/authoring/css	packages/layout/src/css.js	41	export const GEOMETRY_PROPS = new Set([		  'display', 'flex-direction', 'flex-wrap', 'justify-content', 'align-items',
_facts/authoring/css	packages/layout/src/css.js	48	  'overflow', 'position',	  'margin-left', 'border-width', 'font-size', 'line-height', 'white-space',	]);
_facts/authoring/css	packages/layout/src/css.js	51	const INHERITED_PROPS = new Set([		  'color', 'fontSize', 'fontWeight', 'lineHeight', 'textAlign', 'whiteSpace',
_facts/authoring/css	packages/layout/src/css.js	72	export const INITIAL_STYLE = Object.freeze({	// bug throw in strict mode instead of corrupting the build.	  display: 'flex',
_facts/authoring/css	packages/layout/src/css.js	143	function parseCompound(src, line) {		  // e.g. "div.tile#first:focus"
_facts/authoring/css	packages/layout/src/css.js	146	  const re = /([a-zA-Z][a-zA-Z0-9-]*|\\*)|\\.([a-zA-Z_-][a-zA-Z0-9_-]*)|#([a-zA-Z_-][a-zA-Z0-9_-]*)|:(focus)|(.)/g;	  const compound = { tag: null, id: null, classes: [], focus: false };	  let m;
_facts/authoring/css	packages/layout/src/css.js	160	    else if (m[5] === ':') {	    // and the message can simply name it (F37c).	      const name = /^:([a-zA-Z-]*)/.exec(src.slice(m.index))?.[1] ?? '';
_facts/authoring/css	packages/layout/src/css.js	177	export function parseSelector(src, line) {		  const parts = src.trim().split(/\\s+/).map((one) => parseCompound(one, line));
_facts/authoring/css	packages/layout/src/css.js	182	    b += p.classes.length + (p.focus ? 1 : 0);	    if (p.id) a++;	    if (p.tag) c++;
_facts/authoring/css	packages/layout/src/css.js	186	  // descendant of the focused scope. Either way the rule lands in the	  // :focus may sit on any compound: ".tile:focus .title" styles a	  // focus pass of whatever element the full selector matches.
_facts/authoring/css	packages/layout/src/css.js	222	export function compareSpecificity(x, y) {		  for (let i = 0; i < 3; i++) {
_facts/authoring/css	packages/layout/src/css.js	246	        if (end === -1) throw new Error(`css: line ${this.line}: unterminated comment`);	        const end = this.src.indexOf('*/', this.pos + 2);	        this.advance(end + 2 - this.pos);
_facts/authoring/css	packages/layout/src/css.js	263	        if (end === -1) throw new Error(`css: line ${this.line}: unterminated comment`);	        const end = this.src.indexOf('*/', this.pos + 2);	        this.advance(end + 2 - this.pos);
_facts/authoring/css	packages/layout/src/css.js	300	    if (colon === -1) throw new Error(`css: line ${declLine}: malformed declaration "${d}"`);	    const colon = d.indexOf(':');	    out.push({
_facts/authoring/css	packages/layout/src/css.js	328	    if (r.peek() === '@') {	    if (r.eof()) break;	      // One at-rule, @theme. The rest are skipped with a warning: no
_facts/authoring/css	packages/layout/src/css.js	361	    if (r.eof()) throw new Error(`css: line ${line}: selector without a block`);	    const selText = r.readUntil('{');	    r.advance(); // {
_facts/authoring/css	packages/layout/src/css.js	365	    if (r.eof()) throw new Error(`css: line ${line}: unterminated block`);	    const bodyLines = r.lineOf;	    r.advance(); // }
_facts/authoring/css	packages/layout/src/css.js	398	      let selector;	      if (!one.trim()) continue;	      try {
_facts/authoring/css	packages/layout/src/css.js	605	      + `value for the same name and there is nothing here to choose between `	      + `fallback. A role is one colour per theme; a fallback is a second `	      + `them`);
_facts/authoring/css	packages/layout/src/css.js	625	/** A literal's vector: the same colour in every theme. */		export function themeVector(rgba, vars) {
_facts/authoring/css	packages/layout/src/css.js	639	function lengthOrThrow(value, prop, line) {		  const l = parseLength(value);
_facts/authoring/css	packages/layout/src/css.js	645	function pxOrThrow(value, prop, line) {		  const l = lengthOrThrow(value, prop, line);
_facts/authoring/css	packages/layout/src/css.js	670	 * gates ask `!== 'nowrap'`, which turned every typo into "wrap".	 * value -- wrapped not at all; fixing that (B4's sibling) made both	 * Neither shape is acceptable and only refusing the value fixes both.
_facts/authoring/css	packages/layout/src/css.js	683	const KEYWORDS = {	 */	  'flex-direction': {
_facts/authoring/css	packages/layout/src/css.js	707	  'align-self': {	  },	    ok: ['auto', 'flex-start', 'flex-end', 'center', 'stretch'],
_facts/authoring/css	packages/layout/src/css.js	709	    absent: {	    ok: ['auto', 'flex-start', 'flex-end', 'center', 'stretch'],	      baseline: 'there is no baseline alignment across items, so it would '
_facts/authoring/css	packages/layout/src/css.js	722	  'white-space': {	  },	    ok: ['normal', 'nowrap'],
_facts/authoring/css	packages/layout/src/css.js	726	           + 'of whitespace, so it would have wrapped like normal',	      pre: 'only nowrap suppresses wrapping and no value preserves runs '	      'pre-wrap': 'no value preserves runs of whitespace, so it would have '
_facts/authoring/css	packages/layout/src/css.js	741	function keywordOrThrow(prop, value, line) {		  const spec = KEYWORDS[prop];
_facts/authoring/css	packages/layout/src/css.js	758	 * Returns true when the property was understood.	 * Apply one declaration to a computed-style object (mutates).	 */
_facts/authoring/css	packages/layout/src/css.js	760	export function applyDeclaration(style, prop, value, line, warnings, vars) {	 */	  const px = () => pxOrThrow(value, prop, line);
_facts/authoring/css	packages/layout/src/css.js	763	    case 'display':	  switch (prop) {	      if (value !== 'flex' && value !== 'none') {
_facts/authoring/css	packages/layout/src/css.js	768	    case 'flex-direction':	      style.display = value; return true;	      // Validated BEFORE flexDirectionDeclared is set, which is what
_facts/authoring/css	packages/layout/src/css.js	781	    case 'flex-wrap':	      return true;	      style.flexWrap = keywordOrThrow(prop, value, line); return true;
_facts/authoring/css	packages/layout/src/css.js	783	    case 'justify-content':	      style.flexWrap = keywordOrThrow(prop, value, line); return true;	      style.justifyContent = keywordOrThrow(prop, value, line); return true;
_facts/authoring/css	packages/layout/src/css.js	785	    case 'align-items':	      style.justifyContent = keywordOrThrow(prop, value, line); return true;	      style.alignItems = keywordOrThrow(prop, value, line); return true;
_facts/authoring/css	packages/layout/src/css.js	787	    case 'align-self':	      style.alignItems = keywordOrThrow(prop, value, line); return true;	      style.alignSelf = keywordOrThrow(prop, value, line); return true;
_facts/authoring/css	packages/layout/src/css.js	789	    case 'flex-grow':	      style.alignSelf = keywordOrThrow(prop, value, line); return true;	      style.flexGrow = parseFloat(value); return true;
_facts/authoring/css	packages/layout/src/css.js	791	    case 'flex-shrink':	      style.flexGrow = parseFloat(value); return true;	      style.flexShrink = parseFloat(value); return true;
_facts/authoring/css	packages/layout/src/css.js	792	      style.flexShrink = parseFloat(value); return true;	    case 'flex-shrink':	    case 'flex-basis':
_facts/authoring/css	packages/layout/src/css.js	793	    case 'flex-basis':	      style.flexShrink = parseFloat(value); return true;	      style.flexBasis = lengthOrThrow(value, prop, line); return true;
_facts/authoring/css	packages/layout/src/css.js	795	    case 'flex': {	      style.flexBasis = lengthOrThrow(value, prop, line); return true;	      // flex: <grow> [<shrink>] [<basis>] — the common shorthands.
_facts/authoring/css	packages/layout/src/css.js	805	    case 'gap': {	    }	      const parts = splitSpaces(value).map((v) => pxOrThrow(v, prop, line));
_facts/authoring/css	packages/layout/src/css.js	811	    case 'row-gap': style.rowGap = px(); return true;	    }	    case 'column-gap': style.columnGap = px(); return true;
_facts/authoring/css	packages/layout/src/css.js	812	    case 'column-gap': style.columnGap = px(); return true;	    case 'row-gap': style.rowGap = px(); return true;	    case 'width': style.width = lengthOrThrow(value, prop, line); return true;
_facts/authoring/css	packages/layout/src/css.js	813	    case 'width': style.width = lengthOrThrow(value, prop, line); return true;	    case 'column-gap': style.columnGap = px(); return true;	    case 'height': style.height = lengthOrThrow(value, prop, line); return true;
_facts/authoring/css	packages/layout/src/css.js	814	    case 'height': style.height = lengthOrThrow(value, prop, line); return true;	    case 'width': style.width = lengthOrThrow(value, prop, line); return true;	    case 'min-width': style.minWidth = lengthOrThrow(value, prop, line); return true;
_facts/authoring/css	packages/layout/src/css.js	815	    case 'min-width': style.minWidth = lengthOrThrow(value, prop, line); return true;	    case 'height': style.height = lengthOrThrow(value, prop, line); return true;	    case 'min-height': style.minHeight = lengthOrThrow(value, prop, line); return true;
_facts/authoring/css	packages/layout/src/css.js	816	    case 'min-height': style.minHeight = lengthOrThrow(value, prop, line); return true;	    case 'min-width': style.minWidth = lengthOrThrow(value, prop, line); return true;	    case 'max-width': style.maxWidth = lengthOrThrow(value, prop, line); return true;
_facts/authoring/css	packages/layout/src/css.js	817	    case 'max-width': style.maxWidth = lengthOrThrow(value, prop, line); return true;	    case 'min-height': style.minHeight = lengthOrThrow(value, prop, line); return true;	    case 'max-height': style.maxHeight = lengthOrThrow(value, prop, line); return true;
_facts/authoring/css	packages/layout/src/css.js	818	    case 'max-height': style.maxHeight = lengthOrThrow(value, prop, line); return true;	    case 'max-width': style.maxWidth = lengthOrThrow(value, prop, line); return true;	    case 'padding': {
_facts/authoring/css	packages/layout/src/css.js	819	    case 'padding': {	    case 'max-height': style.maxHeight = lengthOrThrow(value, prop, line); return true;	      const parts = expandBox(splitSpaces(value).map((v) => pxOrThrow(v, prop, line)));
_facts/authoring/css	packages/layout/src/css.js	824	    case 'padding-top': case 'padding-right': case 'padding-bottom': case 'padding-left': {	    }	      // Clone before writing — the style may still hold the frozen
_facts/authoring/css	packages/layout/src/css.js	831	    case 'margin': {	    }	      const parts = expandBox(splitSpaces(value).map((v) => pxOrThrow(v, prop, line)));
_facts/authoring/css	packages/layout/src/css.js	836	    case 'margin-top': case 'margin-right': case 'margin-bottom': case 'margin-left': {	    }	      style.margin = style.margin.slice();
_facts/authoring/css	packages/layout/src/css.js	841	    case 'border': {	    }	      // border: <width> solid <color>
_facts/authoring/css	packages/layout/src/css.js	867	    case 'border-width': style.borderWidth = px(); return true;	    }	    case 'border-color': {
_facts/authoring/css	packages/layout/src/css.js	868	    case 'border-color': {	    case 'border-width': style.borderWidth = px(); return true;	      const { rgba, varName, rgbaThemes } = resolveColorValue(value, vars, prop, line);
_facts/authoring/css	packages/layout/src/css.js	874	    case 'border-radius': style.borderRadius = px(); return true;	    }	    case 'background': case 'background-color': {
_facts/authoring/css	packages/layout/src/css.js	875	    case 'background': case 'background-color': {	    case 'border-radius': style.borderRadius = px(); return true;	      if (value === 'none' || value === 'transparent') {
_facts/authoring/css	packages/layout/src/css.js	885	    case 'color': {	    }	      const { rgba, varName, rgbaThemes } = resolveColorValue(value, vars, prop, line);
_facts/authoring/css	packages/layout/src/css.js	891	    case 'font-size': style.fontSize = px(); return true;	    }	    case 'font-weight':
_facts/authoring/css	packages/layout/src/css.js	892	    case 'font-weight':	    case 'font-size': style.fontSize = px(); return true;	      style.fontWeight = value === 'bold' ? 700 : value === 'normal' ? 400 : parseInt(value, 10);
_facts/authoring/css	packages/layout/src/css.js	895	    case 'line-height': {	      return true;	      // Bug #2 regression: "line-height: 1.3" is a multiplier, never 1.3px.
_facts/authoring/css	packages/layout/src/css.js	901	    case 'text-align':	    }	      style.textAlign = keywordOrThrow(prop, value, line); return true;
_facts/authoring/css	packages/layout/src/css.js	903	    case 'white-space':	      style.textAlign = keywordOrThrow(prop, value, line); return true;	      style.whiteSpace = keywordOrThrow(prop, value, line); return true;
_facts/authoring/css	packages/layout/src/css.js	905	    case 'text-overflow':	      style.whiteSpace = keywordOrThrow(prop, value, line); return true;	      style.textOverflow = keywordOrThrow(prop, value, line); return true;
_facts/authoring/css	packages/layout/src/css.js	907	    case 'letter-spacing': style.letterSpacing = px(); return true;	      style.textOverflow = keywordOrThrow(prop, value, line); return true;	    case 'overflow':
_facts/authoring/css	packages/layout/src/css.js	908	    case 'overflow':	    case 'letter-spacing': style.letterSpacing = px(); return true;	      if (value !== 'visible' && value !== 'hidden') {
_facts/authoring/css	packages/layout/src/css.js	913	    case 'opacity': {	      style.overflow = value; return true;	      const v = parseFloat(value);
_facts/authoring/css	packages/layout/src/css.js	917	      return true;	      style.opacity = Math.min(Math.max(v, 0), 1);	    }
_facts/authoring/css	packages/layout/src/css.js	1029	  // may change color; its text children must see the focused color), then	  // Focus pass: inherit from the parent's *focus* style (a focused tile	  // replay base declarations, then the :focus declarations on top.
_facts/authoring/css	packages/layout/src/css.js	1052	    applyDeclaration(focusStyle, d.prop, d.value, d.line, warnings, vars);	    }	  });
_facts/authoring/css	packages/layout/src/flex.js	100	    if (s.whiteSpace === 'nowrap') {	  const wrapAt = (f) => {	      return [{ text: box.text, width: f.measure(box.text, s.fontSize, s.letterSpacing) }];
_facts/authoring/css	packages/layout/src/flex.js	125	      && ctx.warnings && s.whiteSpace !== 'nowrap') {	  if (box.measureWeight != null && box.measureWeight !== baseWeight	    const plain = wrapAt(fonts.resolve(baseWeight));
_facts/authoring/css	packages/layout/src/flex.js	511	function justifyOffsets(justify, free, count, gapMain) {		  // Returns [leading, betweenExtra]; gaps always apply on top.
_facts/authoring/css	packages/layout/src/flex.js	527	function alignOffset(align, lineCross, itemCross) {		  switch (align) {
_facts/authoring/css	packages/layout/src/flex.js	551	    // Ellipsize overflowing nowrap lines when asked to.	    const t = measureText(box, innerW, ctx);	    if (s.whiteSpace === 'nowrap' && s.textOverflow === 'ellipsis') {
_facts/authoring/css	packages/layout/src/flex.js	552	    if (s.whiteSpace === 'nowrap' && s.textOverflow === 'ellipsis') {	    // Ellipsize overflowing nowrap lines when asked to.	      const font = ctx.fonts.resolve(s.fontWeight);
_facts/authoring/css	packages/layout/src/flex.js	613	      // keeps its intrinsic aspect unless the cross size is explicit.	      // flex containers (distorting them); here a replaced element	      // Pixel art on a CRT beats spec fidelity on this one.
_facts/authoring/css	packages/layout/src/index.js	62	  resolve(weight) {	  }	    return weight >= 600 ? this.bold : this.regular;
_facts/authoring/css	packages/layout/src/index.js	207	  if (!root) throw new Error('layout: root element is display: none');	  if (cssErrors.length) throw cssError(cssErrors);	  if (boxEnv.undirected) {
_facts/authoring/css	packages/layout/src/index.js	208	  if (boxEnv.undirected) {	  if (!root) throw new Error('layout: root element is display: none');	    // All of them at once: a document written against the old implicit
_facts/authoring/css	packages/layout/src/paint.js	30	function foldAlpha(vec, opacity) {	// path here that names a row.	  if (!vec) return null;
_facts/authoring/css	packages/layout/src/paint.js	59	function paintOfBox(box, style, nThemes) {		  // The paint-relevant attributes of an element box under a given style,
_facts/authoring/css	packages/layout/src/paint.js	71	  const fillVec = foldAlpha(	  // dead decision is theme 0's, and every row follows it.	    vectorOf(style.backgroundThemes, style.background, style.backgroundVar,
_facts/authoring/css	packages/layout/src/paint.js	100	function textPaint(style, nThemes) {		  const vec = foldAlpha(
_facts/authoring/css	packages/layout/src/paint.js	102	    vectorOf(style.colorThemes, style.color, style.colorVar, nThemes, 'color'),	  const vec = foldAlpha(	    style.opacity);
_facts/authoring/css	packages/layout/src/paint.js	138	function emitTextLines(cmds, box, paint, state) {		  const s = box.style;
_facts/authoring/css	packages/layout/src/paint.js	315	    const clip = !box.isText() && box.style.overflow === 'hidden';		    if (clip) {
_facts/authoring/css	packages/layout/src/text.js	153	 * Used for white-space: nowrap; text-overflow: ellipsis.	 * Truncate a single line to maxWidth, appending an ellipsis.	 *
_facts/authoring/css	packages/layout/src/text.js	183	export function resolveLineHeight(lineHeight, fontSize) {	/** Resolve line-height (px or unitless multiplier) to integral px. */	  if (lineHeight.unit === 'px') return roundHalfUp(lineHeight.value);
_facts/authoring/css	packages/layout/src/values.js	10	const NAMED_COLORS = {		  black: [0, 0, 0, 255],
_facts/authoring/css	packages/layout/src/values.js	33	export function parseLength(tok) {	 */	  if (tok == null) return null;
_facts/authoring/css	packages/layout/src/values.js	66	export function parseColor(tok) {	 */	  if (tok == null) return null;
_facts/authoring/css	packages/layout/src/values.js	103	  return null;	  }	}
